s_km grade_pct kappa vmax_kmh
23.22000 0.98059 -0.00003 64.37376
23.32000 0.98558 0.00002 64.37376
23.42000 0.99779 0.00002 64.37376
23.52000 1.01253 -0.00004 64.37376
23.62000 1.02463 0.00003 64.37376
23.72000 1.03285 0.00007 64.37376
23.82000 1.03280 -0.00004 64.37376
23.92000 1.02006 -0.00002 64.37376
24.02000 0.98830 -0.00003 64.37376
24.12000 0.95797 0.00026 64.37376
24.22000 0.94045 0.00053 64.37376
24.32000 0.91661 0.00066 64.37376
24.42000 0.89614 0.00059 64.37376
24.52000 0.86639 0.00044 64.37376
24.62000 0.87288 0.00049 64.37376
24.72000 0.90450 0.00050 64.37376
24.82000 0.93605 0.00006 64.37376
24.92000 0.97912 0.00015 64.37376
25.02000 1.03076 -0.00008 64.37376
25.12000 1.06892 -0.00002 64.37376
25.22000 1.06668 0.00002 64.37376
25.32000 1.04810 -0.00006 64.37376
25.42000 1.01523 -0.00003 64.37376
25.52000 1.01043 0.00003 64.37376
25.62000 0.98643 0.00001 64.37376
25.72000 1.00052 0.00000 64.37376
25.82000 1.00809 -0.00007 64.37376
25.92000 0.95412 0.00008 64.37376
26.02000 0.95972 0.00006 64.37376
26.12000 0.98987 -0.00024 64.37376
26.22000 1.02299 0.00009 64.37376
26.32000 1.05555 0.00025 64.37376
26.42000 1.05710 -0.00011 64.37376
26.52000 1.07343 -0.00005 64.37376
26.62000 1.07625 0.00023 64.37376
26.72000 0.99940 0.00074 64.37376
26.82000 0.93009 0.00116 64.37376
26.92000 0.87793 0.00124 64.37376
27.02000 0.81136 0.00116 64.37376
27.12000 0.77762 0.00058 64.37376
27.22000 0.75088 -0.00006 64.37376
27.32000 0.76697 -0.00036 64.37376
27.42000 0.83286 -0.00098 64.37376
27.52000 0.91733 -0.00122 64.37376
27.62000 0.99285 -0.00105 64.37376
27.72000 1.04074 -0.00121 64.37376
27.82000 1.03572 -0.00118 64.37376
27.92000 1.02065 -0.00116 64.37376
28.02000 0.99222 -0.00076 64.37376
28.12000 0.95823 -0.00019 64.37376
28.22000 0.94308 0.00008 64.37376
28.32000 0.93775 -0.00002 64.37376
28.42000 0.93213 -0.00005 64.37376
28.52000 0.93983 -0.00001 64.37376
28.62000 0.96575 -0.00004 64.37376
28.72000 0.98948 0.00002 64.37376
28.82000 1.01075 0.00008 64.37376
28.92000 1.03187 0.00002 64.37376
29.02000 1.05173 -0.00003 64.37376
29.12000 1.04527 -0.00004 64.37376
29.22000 1.01710 0.00005 64.37376
29.32000 0.98872 -0.00002 64.37376
29.42000 0.98697 -0.00001 64.37376
29.52000 0.98571 -0.00001 64.37376
29.62000 0.98106 -0.00002 64.37376
29.72000 0.97494 0.00003 64.37376
29.82000 0.98233 0.00000 64.37376
29.92000 0.99030 0.00000 64.37376
30.02000 0.99430 -0.00000 64.37376
30.12000 0.98650 -0.00003 64.37376
30.22000 0.97148 0.00001 64.37376
30.32000 0.95169 -0.00012 64.37376
30.42000 0.93215 -0.00055 64.37376
30.52000 0.92698 -0.00079 64.37376
30.62000 0.93588 -0.00086 64.37376
30.72000 0.95615 -0.00081 64.37376
30.82000 0.99044 -0.00025 64.37376
30.92000 1.02775 -0.00001 64.37376
31.02000 1.04612 0.00000 64.37376
31.12000 1.04090 0.00000 64.37376
31.22000 1.02674 -0.00000 64.37376
31.32000 1.00132 0.00000 64.37376
31.42000 0.98672 0.00000 64.37376
31.52000 0.97917 0.00000 64.37376
31.62000 0.96690 0.00001 64.37376
31.72000 0.95423 -0.00000 64.37376
31.82000 0.94515 -0.00001 64.37376
31.92000 0.93818 -0.00001 64.37376
32.02000 0.94376 -0.00002 64.37376
32.12000 0.94902 0.00001 64.37376
32.22000 0.95670 0.00001 64.37376
32.32000 0.98517 0.00000 64.37376
32.42000 1.01719 -0.00000 64.37376
32.52000 1.03944 -0.00000 64.37376
32.62000 1.04547 0.00001 64.37376
32.72000 1.04536 0.00001 64.37376
32.82000 1.03815 0.00000 64.37376
32.92000 1.03427 0.00000 64.37376
33.02000 1.02182 0.00006 64.37376
33.12000 1.01276 0.00034 64.37376
33.22000 1.00917 0.00075 64.37376
33.32000 1.00985 0.00084 64.37376
33.42000 1.01936 0.00087 64.37376
33.52000 1.03857 0.00088 64.37376
33.62000 1.04549 0.00055 64.37376
33.72000 1.04381 0.00023 64.37376
33.82000 1.00770 0.00001 64.37376
33.92000 0.93137 0.00005 64.37376
34.02000 0.80958 -0.00001 64.37376
34.12000 0.63581 -0.00004 64.37376
34.22000 0.44543 0.00006 64.37376
34.32000 0.26026 -0.00003 64.37376
34.42000 0.09514 -0.00001 64.37376
34.52000 -0.03463 0.00001 64.37376
34.62000 -0.14187 -0.00001 64.37376
34.72000 -0.23071 0.00001 64.37376
34.82000 -0.29224 -0.00006 64.37376
34.92000 -0.32193 -0.00034 64.37376
35.02000 -0.33099 -0.00041 64.37376
35.12000 -0.32025 -0.00034 64.37376
35.22000 -0.27127 -0.00037 64.37376
